commodity,year,month,price,price_change,price_pct_change,MA7,MA30,total_news,average_sentiment,positive_news,negative_news,neutral_news,news_growth
Coffee,2021,1,8557.370714285715,-225.92592592592592,-0.0003033636638109,8593.589025974024,,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,2,8200.17653846154,54.380384615384656,0.044032026784547,8239.10467032967,8378.416893333333,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,3,7835.761111111111,-1.7488888888888985,0.0078136603555647,7820.423068783069,7916.752061728394,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,4,7523.339310344827,-26.555862068965503,0.0433288635972588,7635.850837438424,7895.658735632184,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,5,10131.619615384614,173.2096153846154,0.0319673709079473,9563.58434065934,8115.8110256410255,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,6,7861.217037037037,-170.89962962962963,0.0070088975249559,8227.131534391534,9337.934456790124,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,7,7755.153666666666,-32.85699999999999,0.0199592082450347,7856.890238095238,7870.528711111111,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,8,9176.863103448277,72.61655172413796,0.0581590780756803,9052.884778325122,8393.07335632184,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,9,8278.43172413793,-1.7862068965517304,0.0222491249476121,8254.049704433497,8785.316643678161,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,10,8523.342962962963,-1.0603703703703702,0.0312458366338994,8576.000952380953,8398.600950617283,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,11,8315.491153846155,1.1950000000000225,0.0072806111977742,8341.81087912088,8447.34135897436,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2021,12,8278.69724137931,-6.259310344827601,0.0151660600752149,8252.616896551724,8193.790747126437,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,1,9314.865555555556,15.01111111111115,0.0119233458302538,9302.97492063492,9049.192938271606,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,2,10361.577391304349,44.17956521739131,0.0164976584877128,10208.122111801244,9635.797826086957,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,3,10134.4075,-18.92000000000001,0.0149320884575192,10207.969285714284,10416.931333333332,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,4,11555.830714285714,24.404642857142854,0.0224356385697741,11274.06693877551,10493.319833333331,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,5,11811.307931034482,66.71103448275866,0.0378227656857339,11682.147192118226,11397.764229885055,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,6,14621.7416,184.3076,0.0339293392397996,14251.9368,13004.886653333337,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,7,11741.456923076925,9.590769230769252,0.0557962146599523,12102.276153846153,13479.090923076925,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,8,12283.46851851852,27.345555555555556,0.0377951141138082,12250.221216931215,11934.004506172838,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,9,13614.89925925926,-155.39111111111112,0.0243495260503113,13626.168465608464,12949.510456790123,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,10,11877.214285714286,-3.325357142857132,0.0236078693096836,11903.560459183676,12754.19319047619,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,11,11513.9904,-123.47120000000002,0.004144484964079,11652.549028571428,11762.517133333336,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2022,12,11029.66,10.942592592592636,0.0092295094756396,11090.806243386243,11452.68035802469,0.0,0.0,0.0,0.0,0.0,0.0
