Date,commodity,price,price_change,price_pct_change,MA7,MA30
2000-01-03,COFFEE,116.5,,,,
2000-01-04,COFFEE,116.25,-0.25,-0.0021459227467811592,,
2000-01-05,COFFEE,118.6,2.3499999999999943,0.020215053763440904,,
2000-01-06,COFFEE,116.85,-1.75,-0.01475548060708265,,
2000-01-07,COFFEE,114.15,-2.6999999999999886,-0.023106546854942178,,
2000-01-10,COFFEE,117.55,3.3999999999999915,0.029785370127025868,,
2000-01-11,COFFEE,117.8,0.25,0.002126754572522316,116.81428571428572,
2000-01-12,COFFEE,118.95,1.1500000000000057,0.009762308998302327,117.16428571428571,
2000-02-01,COFFEE,111.65,-7.299999999999997,-0.061370323665405624,116.50714285714285,
2000-02-02,COFFEE,112.25,0.5999999999999943,0.0053739364084191,115.6,
2000-02-03,COFFEE,112.95,0.7000000000000028,0.006236080178173786,115.04285714285713,
2000-02-04,COFFEE,112.9,-0.04999999999999716,-0.0004426737494466204,114.86428571428571,
2000-02-07,COFFEE,111.7,-1.2000000000000028,-0.010628875110717528,114.02857142857144,
2000-02-08,COFFEE,108.55,-3.1500000000000057,-0.02820053715308868,112.70714285714287,
2000-02-09,COFFEE,107.7,-0.8499999999999943,-0.007830492860432914,111.10000000000001,
2000-02-10,COFFEE,108.75,1.0499999999999972,0.009749303621169991,110.6857142857143,
2000-02-11,COFFEE,108.8,0.04999999999999716,0.00045977011494247044,110.19285714285715,
2000-03-01,COFFEE,101.15,-7.6499999999999915,-0.07031249999999989,108.50714285714285,
2000-03-02,COFFEE,105.1,3.9499999999999886,0.039050914483440335,107.39285714285714,
2000-03-03,COFFEE,104.35,-0.75,-0.007136060894386342,106.34285714285714,
2000-03-06,COFFEE,106.3,1.9500000000000028,0.01868711068519402,106.02142857142857,
2000-03-07,COFFEE,108.4,2.1000000000000085,0.019755409219190945,106.12142857142858,
2000-03-08,COFFEE,107.4,-1.0,-0.009225092250922495,105.92857142857143,
2000-03-09,COFFEE,107.2,-0.20000000000000284,-0.0018621973929237035,105.70000000000002,
2000-03-10,COFFEE,106.1,-1.1000000000000085,-0.010261194029850818,106.40714285714284,
2000-04-03,COFFEE,102.1,-4.0,-0.03770028275212067,105.97857142857143,
2000-04-04,COFFEE,100.1,-2.0,-0.019588638589618013,105.37142857142858,
2000-04-05,COFFEE,101.8,1.7000000000000028,0.016983016983016963,104.72857142857143,
2000-04-06,COFFEE,100.85,-0.9500000000000028,-0.00933202357563856,103.64999999999999,
2000-04-07,COFFEE,99.6,-1.25,-0.012394645513138292,102.53571428571429,109.41166666666666
2000-04-10,COFFEE,96.65,-2.9499999999999886,-0.029618473895582254,101.02857142857142,108.75
2000-04-11,COFFEE,96.55,-0.10000000000000853,-0.0010346611484739476,99.66428571428571,108.09333333333333
2000-04-12,COFFEE,94.2,-2.3499999999999943,-0.02433972035214904,98.53571428571429,107.28
2000-05-01,COFFEE,100.3,6.099999999999994,0.06475583864118883,98.5642857142857,106.72833333333334
2000-05-02,COFFEE,99.1,-1.2000000000000028,-0.011964107676969093,98.17857142857143,106.22666666666667
2000-05-03,COFFEE,94.45,-4.6499999999999915,-0.04692230070635717,97.26428571428572,105.45666666666666
2000-05-04,COFFEE,96.85,2.3999999999999915,0.02541026998411855,96.87142857142855,104.75833333333334
2000-05-05,COFFEE,96.85,0.0,0.0,96.89999999999999,104.02166666666668
2000-05-08,COFFEE,97.15,0.30000000000001137,0.0030975735673723914,96.98571428571428,103.53833333333333
2000-05-09,COFFEE,97.45,0.29999999999999716,0.0030880082346886883,97.45,103.045
2000-05-10,COFFEE,97.25,-0.20000000000000284,-0.0020523345305285545,97.01428571428572,102.52166666666668
2000-05-11,COFFEE,95.9,-1.3499999999999943,-0.013881748071979394,96.55714285714285,101.955
2000-05-12,COFFEE,91.8,-4.1000000000000085,-0.04275286757038588,96.17857142857143,101.29166666666667
2000-06-01,COFFEE,94.45,2.6500000000000057,0.028867102396514133,95.83571428571429,100.82166666666667
2000-06-02,COFFEE,95.55,1.0999999999999943,0.011646373742721039,95.65,100.41666666666667
2000-06-05,COFFEE,93.35,-2.200000000000003,-0.02302459445316596,95.10714285714286,99.90333333333334
2000-06-06,COFFEE,89.15,-4.199999999999989,-0.04499196572040698,93.92142857142858,99.24833333333332
2000-06-07,COFFEE,92.05,2.8999999999999915,0.03252944475602915,93.17857142857143,98.945
2000-06-08,COFFEE,92.55,0.5,0.005431830526887671,92.7,98.52666666666666
2000-06-09,COFFEE,91.85,-0.7000000000000028,-0.0075634792004322104,92.70714285714284,98.11
2000-06-12,COFFEE,91.15,-0.6999999999999886,-0.007621121393576402,92.23571428571428,97.60499999999999
2000-07-03,COFFEE,84.85,-6.300000000000011,-0.06911684037301169,90.70714285714284,96.82000000000001
2000-07-04,COFFEE,84.85,0.0,0.0,89.49285714285715,96.06833333333334
2000-07-05,COFFEE,85.4,0.5500000000000114,0.006482027106659016,88.95714285714284,95.34166666666667
2000-07-06,COFFEE,82.85,-2.5500000000000114,-0.029859484777517653,87.64285714285714,94.56666666666666
2000-07-07,COFFEE,80.8,-2.049999999999997,-0.024743512371756204,85.96428571428571,93.85666666666665
2000-07-10,COFFEE,84.0,3.200000000000003,0.03960396039603964,84.84285714285714,93.32
2000-07-11,COFFEE,90.1,6.099999999999994,0.07261904761904758,84.69285714285714,92.92999999999999
2000-07-12,COFFEE,89.7,-0.3999999999999915,-0.004439511653718031,85.38571428571429,92.55833333333334
2000-08-01,COFFEE,86.3,-3.4000000000000057,-0.03790412486064665,85.59285714285714,92.115
2000-08-02,COFFEE,86.45,0.15000000000000568,0.0017381228273465332,85.74285714285715,91.775
2000-08-03,COFFEE,85.85,-0.6000000000000085,-0.006940427993059717,86.17142857142856,91.41833333333332
2000-08-04,COFFEE,85.6,-0.25,-0.0029120559114734768,86.85714285714286,91.13166666666666
2000-08-07,COFFEE,85.4,-0.19999999999998863,-0.002336448598130758,87.05714285714285,90.63499999999999
2000-08-08,COFFEE,83.7,-1.7000000000000028,-0.01990632318501173,86.14285714285714,90.12166666666666
2000-08-09,COFFEE,79.5,-4.200000000000003,-0.05017921146953408,84.68571428571428,89.62333333333332
2000-08-10,COFFEE,79.6,0.09999999999999432,0.0012578616352201255,83.72857142857143,89.04833333333335
2000-08-11,COFFEE,80.65,1.0500000000000114,0.013190954773869557,82.89999999999999,88.50833333333334
2000-09-01,COFFEE,75.0,-5.650000000000006,-0.07005579665220096,81.35000000000001,87.77000000000001
2000-09-04,COFFEE,75.0,0.0,0.0,79.83571428571429,87.02166666666666
2000-09-05,COFFEE,73.1,-1.9000000000000057,-0.02533333333333343,78.07857142857142,86.21666666666667
2000-09-06,COFFEE,75.25,2.1500000000000057,0.02941176470588247,76.87142857142858,85.52833333333334
2000-09-07,COFFEE,78.0,2.75,0.03654485049833878,76.65714285714286,85.06833333333334
2000-09-08,COFFEE,77.4,-0.5999999999999943,-0.007692307692307665,76.34285714285714,84.5
2000-09-11,COFFEE,77.75,0.3499999999999943,0.004521963824289266,75.92857142857143,83.90666666666667
2000-09-12,COFFEE,78.65,0.9000000000000057,0.011575562700964603,76.45,83.41666666666667
2000-10-02,COFFEE,79.35,0.6999999999999886,0.008900190718372336,77.07142857142857,83.08999999999999
2000-10-03,COFFEE,79.4,0.05000000000001137,0.000630119722747402,77.97142857142856,82.66833333333332
2000-10-04,COFFEE,79.35,-0.05000000000001137,-0.0006297229219145439,78.55714285714285,82.22833333333334
2000-10-05,COFFEE,78.7,-0.6499999999999915,-0.008191556395715116,78.65714285714286,81.78999999999999
2000-10-06,COFFEE,79.45,0.75,0.009529860228716602,78.95,81.4
2000-10-09,COFFEE,79.95,0.5,0.006293266205160464,79.26428571428572,81.23666666666666
2000-10-10,COFFEE,80.75,0.7999999999999972,0.01000625390869292,79.56428571428572,81.1
2000-10-11,COFFEE,83.15,2.4000000000000057,0.029721362229102155,80.10714285714286,81.025
2000-10-12,COFFEE,81.3,-1.8500000000000085,-0.022248947684906928,80.37857142857145,80.97333333333333
2000-11-01,COFFEE,73.9,-7.3999999999999915,-0.09102091020910197,79.60000000000001,80.74333333333334
2000-11-02,COFFEE,74.25,0.3499999999999943,0.004736129905277275,78.96428571428571,80.41833333333334
2000-11-03,COFFEE,73.6,-0.6500000000000057,-0.008754208754208848,78.12857142857142,79.86833333333333
2000-11-06,COFFEE,74.7,1.1000000000000085,0.014945652173913082,77.37857142857142,79.36833333333334
2000-11-07,COFFEE,74.6,-0.10000000000000853,-0.0013386880856761652,76.5,78.97833333333332
2000-11-08,COFFEE,75.3,0.7000000000000028,0.009383378016085908,75.37857142857142,78.60666666666665
2000-11-09,COFFEE,74.0,-1.2999999999999972,-0.01726427622841964,74.33571428571429,78.21166666666666
2000-11-10,COFFEE,74.15,0.15000000000000568,0.002027027027027062,74.37142857142858,77.83
2000-12-01,COFFEE,67.0,-7.150000000000006,-0.09642616318273778,73.33571428571429,77.21666666666667
2000-12-04,COFFEE,67.3,0.29999999999999716,0.004477611940298498,72.43571428571428,76.67000000000002
2000-12-05,COFFEE,66.5,-0.7999999999999972,-0.011887072808320909,71.26428571428572,76.23666666666668
2000-12-06,COFFEE,66.15,-0.3499999999999943,-0.0052631578947367474,70.05714285714285,75.78833333333334
2000-12-07,COFFEE,66.35,0.19999999999998863,0.003023431594860071,68.77857142857144,75.31166666666667
2000-12-08,COFFEE,63.65,-2.6999999999999957,-0.04069329314242642,67.3,74.93333333333335
2000-12-11,COFFEE,64.1,0.44999999999999574,0.0070699135899450205,65.86428571428571,74.57
2000-12-12,COFFEE,64.2,0.10000000000000853,0.0015600624024962872,65.46428571428571,74.27333333333333
2001-01-02,COFFEE,63.4,-0.8000000000000043,-0.012461059190031265,64.90714285714286,73.87833333333333
2001-01-03,COFFEE,63.45,0.05000000000000426,0.0007886435331230235,64.47142857142856,73.39333333333333
2001-01-04,COFFEE,63.35,-0.10000000000000142,-0.0015760441292356209,64.07142857142857,72.925
2001-01-05,COFFEE,64.35,0.9999999999999929,0.015785319652722896,63.785714285714285,72.47833333333332
