commodity,year,month,price,price_change,price_pct_change,MA7,MA30,total_news,average_sentiment,positive_news,negative_news,neutral_news,news_growth,next_price
COFFEE,2000,4,98.98125,-1.487499999999999,-0.0146281786054629,102.68660714285714,108.38375,0.0,0.0,0.0,0.0,0.0,0.0,96.71
COFFEE,2000,5,96.71,-0.2400000000000006,-0.0021221668128851,97.19642857142858,103.95433333333332,0.0,0.0,0.0,0.0,0.0,0.0,92.5125
COFFEE,2000,6,92.5125,-0.0812499999999989,-0.0005908011681787,93.91696428571429,99.19708333333334,0.0,0.0,0.0,0.0,0.0,0.0,85.31875
COFFEE,2000,7,85.31875,-0.1812500000000003,-0.0011817892567821,87.21071428571427,94.43270833333334,0.0,0.0,0.0,0.0,0.0,0.0,83.67222222222222
COFFEE,2000,8,83.67222222222222,-1.005555555555555,-0.0115546280868244,85.43095238095238,90.4862962962963,0.0,0.0,0.0,0.0,0.0,0.0,76.26875
COFFEE,2000,9,76.26875,-0.25,-0.0026284119935458,77.68928571428572,85.42854166666667,0.0,0.0,0.0,0.0,0.0,0.0,80.15555555555555
COFFEE,2000,10,80.15555555555555,0.2944444444444435,0.0037789806678061,78.9468253968254,81.72351851851852,0.0,0.0,0.0,0.0,0.0,0.0,74.3125
COFFEE,2000,11,74.3125,-0.8937499999999988,-0.0109107370193879,76.83214285714286,79.253125,0.0,0.0,0.0,0.0,0.0,0.0,65.65625
COFFEE,2000,12,65.65625,-1.2437500000000004,-0.0172673334375777,69.3125,75.625,0.0,0.0,0.0,0.0,0.0,0.0,63.79444444444445
COFFEE,2001,1,63.79444444444445,0.0888888888888885,0.0014321537481944,64.00555555555555,71.935,0.0,0.0,0.0,0.0,0.0,0.0,62.6875
COFFEE,2001,2,62.6875,-0.3375000000000003,-0.0052467561742197,63.35625,67.46375,0.0,0.0,0.0,0.0,0.0,0.0,63.55625
COFFEE,2001,3,63.55625,-0.03125,-0.0003215114318541,63.17946428571428,64.34291666666667,0.0,0.0,0.0,0.0,0.0,0.0,58.28333333333333
COFFEE,2001,4,58.28333333333333,-0.4944444444444439,-0.0081345159371523,60.16666666666666,62.6087037037037,0.0,0.0,0.0,0.0,0.0,0.0,64.96111111111111
COFFEE,2001,5,64.96111111111111,0.8166666666666669,0.0142398505322069,62.32777777777778,61.9437037037037,0.0,0.0,0.0,0.0,0.0,0.0,58.24375
COFFEE,2001,6,58.24375,-0.9125000000000004,-0.0139881679568842,61.14821428571429,61.61895833333333,0.0,0.0,0.0,0.0,0.0,0.0,53.644444444444446
COFFEE,2001,7,53.644444444444446,-0.6166666666666664,-0.0110744970355989,55.35,59.638703703703705,0.0,0.0,0.0,0.0,0.0,0.0,49.975
COFFEE,2001,8,49.975,-0.4625000000000003,-0.0090890086220905,51.17053571428571,57.428125,0.0,0.0,0.0,0.0,0.0,0.0,48.5875
COFFEE,2001,9,48.5875,-0.0062499999999996,0.0002439841311737,48.98303571428571,53.52354166666667,0.0,0.0,0.0,0.0,0.0,0.0,45.925
COFFEE,2001,10,45.925,-0.3649999999999999,-0.0077684308402124,46.91357142857143,50.0545,0.0,0.0,0.0,0.0,0.0,0.0,45.9875
COFFEE,2001,11,45.9875,0.0,0.0002239378509888,45.77142857142857,47.707708333333336,0.0,0.0,0.0,0.0,0.0,0.0,42.81875
COFFEE,2001,12,42.81875,-0.0437500000000001,-0.00069376904798,43.61785714285715,46.071041666666666,0.0,0.0,0.0,0.0,0.0,0.0,48.9875
COFFEE,2002,1,48.9875,0.6499999999999995,0.0143832078885862,46.60892857142857,45.50875,0.0,0.0,0.0,0.0,0.0,0.0,44.54375
COFFEE,2002,2,44.54375,-0.8187499999999996,-0.0171820371574274,46.80714285714286,45.735416666666666,0.0,0.0,0.0,0.0,0.0,0.0,48.84375
COFFEE,2002,3,48.84375,1.5499999999999998,0.0327040157154187,46.07946428571429,45.7825,0.0,0.0,0.0,0.0,0.0,0.0,56.345000000000006
COFFEE,2002,4,56.345000000000006,-0.2199999999999995,-0.0035802517549673,55.29357142857143,49.05616666666667,0.0,0.0,0.0,0.0,0.0,0.0,48.54375
COFFEE,2002,5,48.54375,-0.7125000000000004,-0.0137920842281915,51.058928571428574,50.38604166666667,0.0,0.0,0.0,0.0,0.0,0.0,49.91875
COFFEE,2002,6,49.91875,0.1749999999999998,0.0040460631973571,49.426785714285714,51.450208333333336,0.0,0.0,0.0,0.0,0.0,0.0,49.17
COFFEE,2002,7,49.17,0.0950000000000002,0.0022831569494788,48.95,50.97816666666667,0.0,0.0,0.0,0.0,0.0,0.0,47.66875
COFFEE,2002,8,47.66875,-0.1749999999999998,-0.0033477999732113,48.520535714285714,49.09333333333333,0.0,0.0,0.0,0.0,0.0,0.0,56.22222222222222
COFFEE,2002,9,56.22222222222222,1.1444444444444442,0.0221581010023905,52.84206349206349,49.85166666666667,0.0,0.0,0.0,0.0,0.0,0.0,57.27777777777778
COFFEE,2002,10,57.27777777777778,-0.1555555555555554,-0.002495027213387,57.3468253968254,52.24611111111111,0.0,0.0,0.0,0.0,0.0,0.0,65.69375
COFFEE,2002,11,65.69375,0.7999999999999998,0.0141847365735476,62.66339285714286,55.87833333333333,0.0,0.0,0.0,0.0,0.0,0.0,63.57222222222222
COFFEE,2002,12,63.57222222222222,-0.6333333333333336,-0.0096204283940654,65.39444444444445,60.540740740740745,0.0,0.0,0.0,0.0,0.0,0.0,62.892857142857146
COFFEE,2003,1,62.892857142857146,1.0,0.0167128718120115,61.545918367346935,62.14380952380952,0.0,0.0,0.0,0.0,0.0,0.0,65.575
COFFEE,2003,2,65.575,-0.03125,-0.0003613692582541,64.75357142857143,63.90104166666666,0.0,0.0,0.0,0.0,0.0,0.0,57.89375
COFFEE,2003,3,57.89375,-0.9937499999999996,-0.0153960360611298,60.823214285714286,63.173541666666665,0.0,0.0,0.0,0.0,0.0,0.0,60.64444444444444
COFFEE,2003,4,60.64444444444444,0.4000000000000001,0.0069929128786251,59.66587301587302,61.68592592592592,0.0,0.0,0.0,0.0,0.0,0.0,67.81875
COFFEE,2003,5,67.81875,0.9124999999999996,0.0152407940112395,65.17053571428572,62.30729166666666,0.0,0.0,0.0,0.0,0.0,0.0,59.90555555555555
COFFEE,2003,6,59.90555555555555,-0.7111111111111109,-0.0101823592808114,62.36984126984127,61.95555555555556,0.0,0.0,0.0,0.0,0.0,0.0,60.44444444444444
COFFEE,2003,7,60.44444444444444,-0.1277777777777776,-0.0018183969052107,60.43571428571428,62.25259259259259,0.0,0.0,0.0,0.0,0.0,0.0,63.3625
COFFEE,2003,8,63.3625,0.03125,0.0010831742447436,62.70625,62.489583333333336,0.0,0.0,0.0,0.0,0.0,0.0,65.84
COFFEE,2003,9,65.84,0.8,0.0127332535456492,63.83142857142857,61.95933333333333,0.0,0.0,0.0,0.0,0.0,0.0,63.4125
COFFEE,2003,10,63.4125,-0.90625,-0.0137521383460698,65.87321428571428,63.590625,0.0,0.0,0.0,0.0,0.0,0.0,59.4125
COFFEE,2003,11,59.4125,-0.2750000000000003,-0.0044033387267878,60.54464285714286,63.484791666666666,0.0,0.0,0.0,0.0,0.0,0.0,62.23
COFFEE,2003,12,62.23,0.4,0.0067691836785979,61.182857142857145,62.88766666666667,0.0,0.0,0.0,0.0,0.0,0.0,68.62857142857142
COFFEE,2004,1,68.62857142857142,1.114285714285714,0.0170781748935337,65.82551020408164,62.69166666666667,0.0,0.0,0.0,0.0,0.0,0.0,73.52777777777777
COFFEE,2004,2,73.52777777777777,0.4833333333333343,0.0069415776438475,72.0595238095238,64.94962962962963,0.0,0.0,0.0,0.0,0.0,0.0,73.38
COFFEE,2004,3,73.38,-0.05,-0.0005581590627108,73.36785714285713,69.131,0.0,0.0,0.0,0.0,0.0,0.0,72.87142857142858
COFFEE,2004,4,72.87142857142858,-0.3714285714285726,-0.0050031732248161,73.4234693877551,72.15476190476191,0.0,0.0,0.0,0.0,0.0,0.0,69.4125
